,cycle_idx,step_idx,walker_idx,decision,instruction
160,2,4,0,NOTHING,0
161,2,4,1,NOTHING,1
162,2,4,2,CLONE,"(2, 5)"
163,2,4,3,NOTHING,3
164,2,4,4,NOTHING,4
165,2,4,5,SQUASH,7
166,2,4,6,NOTHING,6
167,2,4,7,KEEP_MERGE,7
168,2,5,0,NOTHING,0
169,2,5,1,NOTHING,1
170,2,5,2,KEEP_MERGE,2
171,2,5,3,NOTHING,3
172,2,5,4,CLONE,"(4, 7)"
173,2,5,5,NOTHING,5
174,2,5,6,NOTHING,6
175,2,5,7,SQUASH,2
176,2,6,0,NOTHING,0
177,2,6,1,KEEP_MERGE,1
178,2,6,2,NOTHING,2
179,2,6,3,SQUASH,1
180,2,6,4,CLONE,"(4, 3)"
181,2,6,5,NOTHING,5
182,2,6,6,NOTHING,6
183,2,6,7,NOTHING,7
184,2,7,0,KEEP_MERGE,0
185,2,7,1,NOTHING,1
186,2,7,2,NOTHING,2
187,2,7,3,NOTHING,3
188,2,7,4,SQUASH,0
189,2,7,5,NOTHING,5
190,2,7,6,NOTHING,6
191,2,7,7,CLONE,"(7, 4)"
192,2,8,0,NOTHING,0
193,2,8,1,SQUASH,6
194,2,8,2,NOTHING,2
195,2,8,3,CLONE,"(3, 1)"
196,2,8,4,NOTHING,4
197,2,8,5,NOTHING,5
198,2,8,6,KEEP_MERGE,6
199,2,8,7,NOTHING,7
